City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1342,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
1348,Nuqui,CO,83.73,light rain,5.7125,-77.2708,Hotel Nuquimar
1351,Ponta Do Sol,PT,77.72,clear sky,32.6667,-17.1,Hotel do Campo
1353,Kumluca,TR,75.96,few clouds,36.3703,30.2869,TurkuazKöy
1355,Tautira,PF,78.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
1357,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1364,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1366,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1372,San Quintin,MX,79.63,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
1380,Aguimes,ES,79.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
1381,Dingle,PH,76.84,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
1388,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1390,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1393,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
1398,Narasannapeta,IN,80.38,scattered clouds,18.4167,84.05,G.lingaraju home
1399,Kimbe,PG,75.38,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
1404,Dabakala,CI,84.78,broken clouds,8.3667,-4.4333,Hôtel Campement
1407,Noumea,NC,75.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
1408,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1409,Bengkulu,ID,76.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
1411,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1412,Wencheng,CN,76.39,light rain,33.0559,113.7978,Ruyi Hostel
1419,Cam Ranh,VN,80.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
1421,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1422,Ankpa,NG,78.96,light rain,7.3706,7.6253,AA Suites
1429,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1433,Lorengau,PG,79.65,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
1440,Lompoc,US,87.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1441,Hambantota,LK,79.92,few clouds,6.1241,81.1185,Bungalow 63
1443,Kavaratti,IN,82.08,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
1444,San Felipe,VE,86.14,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
1449,Velasco Ibarra,EC,87.73,overcast clouds,-1.05,-79.6167,White Room Studio
1450,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
1451,Jalalabad,AF,83.21,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
1455,Lompoc,US,87.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1461,Hamilton,US,79.74,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
1463,Laguna,US,83.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
1468,Havelock,US,80.98,clear sky,34.8791,-76.9013,Sherwood Motel
1477,Moyale,KE,76.98,overcast clouds,3.5167,39.0584,La Tahzan Guest House
1478,Port Blair,IN,80.91,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
1479,Wewak,PG,79.07,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
1486,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1497,Poso,ID,77.54,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
1506,Harper,LR,79.5,overcast clouds,4.375,-7.7169,Screensaver
1518,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1519,Butaritari,KI,82.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1520,Soyo,AO,78.85,broken clouds,-6.1349,12.3689,Hotel Mpampa
1522,Soyo,AO,78.85,broken clouds,-6.1349,12.3689,Hotel Mpampa
1530,Kinablangan,PH,78.06,overcast clouds,7.6947,126.5503,Danny Moreno Property
1532,Lubao,PH,81.14,overcast clouds,14.9167,120.55,Hacienda Gracia
1534,Dabakala,CI,84.78,broken clouds,8.3667,-4.4333,Hôtel Campement
1535,Lompoc,US,87.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
1537,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
1542,Alyangula,AU,79.61,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
1547,Garowe,SO,86.68,light rain,8.4054,48.4845,Curubo Hotel
1548,Eyl,SO,78.82,few clouds,7.9803,49.8164,Amiin Hotel
1554,Ko Samui,TH,83.53,overcast clouds,9.5357,99.9357,The Passage
1565,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1568,High Rock,BS,84.22,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
1569,Pacific Grove,US,82.62,clear sky,36.6177,-121.9166,Lovers Point Inn
1570,Cabo San Lucas,MX,81.95,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
1574,Todos Santos,MX,83.75,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
1575,Panalingaan,PH,78.26,light rain,8.7842,117.4231,I Love Panalingaan View Deck
1582,Elizabeth City,US,80.06,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
1590,Russell,US,83.79,few clouds,32.3502,-85.1999,Macs
1599,Narsipatnam,IN,81.81,broken clouds,17.6667,82.6167,Lodge Vooda Residency AC
1600,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
1609,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
1612,Galle,LK,78.82,few clouds,6.0367,80.217,Amangalla
1615,Atuona,PF,77.95,scattered clouds,-9.8,-139.0333,Villa Enata
1631,Kapaa,US,75.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
